NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
1,King County Department of Metro Transit,SEATTLE,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,King County Metro
3,Pierce County Transportation Benefit Area Authority,TACOMA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Pierce Transit
5,City of Everett,EVERETT,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Everett Transit
8,Tri-County Metropolitan Transportation District of Oregon,PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,Tri-County Metropolitan Transportation District of Oregon
20,Kitsap Transit,BREMERTON,WA,"Bremerton, WA",Seattle,PSRC,Puget Sound Regional Council,Kitsap Transit
23,City of Seattle,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,City of Seattle
28,County of Pierce,TACOMA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Pierce County Ferries
29,Snohomish County Public Transportation Benefit Area Corporation,EVERETT,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Community Transit
33,Senior Services of Snohomish County,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Senior Services of Snohomish County
35,Washington State Ferries,OLYMPIA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Washington State Ferries
40,Central Puget Sound Regional Transit Authority,SEATTLE,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Sound Transit
46,City of Wilsonville,WILSONVILLE,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,City of Wilsonville
52,Metro,Portland,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,Metro
54,King County Ferry District,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,King County Ferry District
58,City of Portland,PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,City of Portland
376,"Ride Connection, Inc.",PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro,"Ride Connection, Inc."
10003,Massachusetts Bay Transportation Authority,BOSTON,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Massachusetts Bay Transportation Authority
10004,Brockton Area Transit Authority,BROCKTON,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Brockton Area Transit Authority
10005,Lowell Regional Transit Authority,LOWELL,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Lowell Regional Transit Authority
10013,Merrimack Valley Regional Transit Authority,HAVERHILL,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Merrimack Valley Regional Transit Authority
10053,Cape Ann Transportation Authority,GLOUCESTER,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Cape Ann Transportation Authority
10117,Plymouth & Brockton Street Railway Company,Plymouth,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Plymouth & Brockton Street Railway Company
10118,MetroWest Regional Transit Authority,FRAMINGHAM,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,MetroWest Regional Transit Authority
10129,Massachusetts Department of Transportation,Boston,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Massachusetts Department of Transportation
20006,City of Long Beach,LONG BEACH,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,City of Long Beach
20007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus"
20008,MTA New York City Transit,BROOKLYN,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA New York City Transit
20040,"New York Bus Tours, Inc., dba: New York Bus Service",Bronx,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"New York Bus Tours, Inc., dba: New York Bus Service"
20071,Town of Huntington,HUNTINGTON,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Town of Huntington
20072,Suffolk County ,YAPHANK,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Suffolk County 
20075,Port Authority Transit Corporation,CAMDEN,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Port Authority Transit Corporation
20076,Westchester County,WHITE PLAINS,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Westchester County
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad"
20079,"Liberty Lines Transit, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Liberty Lines Transit, Inc."
20080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New Jersey Transit Corporation
20082,New York City Department of Transportation,NEW YORK,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,New York City Department of Transportation
20084,County of Rockland ,NEW CITY,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,County of Rockland 
20085,Town of Clarkstown ,NEW CITY,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Town of Clarkstown 
20086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,New York,CT,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens
20089,Village of Spring Valley ,Spring Valley,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Village of Spring Valley 
20096,Putnam County ,CARMEL,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Putnam County 
20098,Port Authority Trans-Hudson Corporation,NEW YORK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Port Authority Trans-Hudson Corporation
20099,Staten Island Rapid Transit Operating Authority,Staten Island,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Staten Island Rapid Transit Operating Authority
20100,MTA Long Island Rail Road,Jamaica,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA Long Island Rail Road
20117,"Liberty Lines Express, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Liberty Lines Express, Inc."
20122,"Academy Lines, Inc.",HOBOKEN,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Academy Lines, Inc."
20126,"Hudson Transit Lines, Inc.",MAHWAH,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Hudson Transit Lines, Inc."
20128,Suburban Transit Corporation,NEW BRUNSWICK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Suburban Transit Corporation
20132,New Jersey Transit Corporation-45,Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New Jersey Transit Corporation-45
20135,Monsey New Square Trails Corporation,Spring Valley,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Monsey New Square Trails Corporation
20136,Queens Surface Corporation,Flushing,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Queens Surface Corporation
20147,GTJC,Lynbrook,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,GTJC
20149,"Rockland Coaches, Inc.",PARAMUS,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Rockland Coaches, Inc."
20154,New York Waterway,Weehawken,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New York Waterway
20159,"Atlantic Paratrans of NYC, Inc.",New York,CT,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Atlantic Paratrans of NYC, Inc."
20160,"Community Transit, Inc.",PARAMUS,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Community Transit, Inc."
20161,DeCamp Bus Lines,MONTCLAIR,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,DeCamp Bus Lines
20162,Lafeyette-Greenville IBOA,Jersey City,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Lafeyette-Greenville IBOA
20163,"Lakeland Bus Lines, Inc.",DOVER,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Lakeland Bus Lines, Inc."
20164,Leisure Line,Paramus,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Leisure Line
20165,"Olympia Trails Bus Company, Inc.",ELIZABETH,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Olympia Trails Bus Company, Inc."
20166,"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Orange-Newark-Elizabeth, Inc."
20167,"South Orange Avenue IBOA, c/o: NJ Transit, Carrier Admin.",Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"South Orange Avenue IBOA, c/o: NJ Transit, Carrier Admin."
20168,Trans-Hudson Express,Elizabeth,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Trans-Hudson Express
20170,"Vanpool of New Jersey, Inc.",Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Vanpool of New Jersey, Inc."
20171,"Private One of New York, LLC, dba: New York Airport Service",Brooklyn,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Private One of New York, LLC, dba: New York Airport Service"
20175,Private Transportation Corporation,Brooklyn,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Private Transportation Corporation
20177,"Adirondack Transit Lines, Inc,",HURLEY,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Adirondack Transit Lines, Inc,"
20180,Atlantic Express,Staten Island,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Atlantic Express
20188,MTA Bus Company,NEW YORK,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA Bus Company
20189,"BillyBey Ferry Company, LLC",New York,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"BillyBey Ferry Company, LLC"
20190,Port Imperial Ferry Corporation,WEEHAWKEN,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Port Imperial Ferry Corporation
20192,Bergen County,HACKENSACK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Bergen County
20195,Gloucester County,West Deptford,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Gloucester County
20197,Meadowlands Transportation Brokerage Corporation,WOOD RIDGE,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Meadowlands Transportation Brokerage Corporation
20198,"TransOptions, Inc.",Cedar Knolls,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"TransOptions, Inc."
20201,County of Cumberland,BRIDGETON,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,County of Cumberland
20202,Essex County,NEWARK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Essex County
20204,"Senior Citizens United Community Services of Camden County, Inc.",AUDUBON,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,"Senior Citizens United Community Services of Camden County, Inc."
20206,County of Nassau,MINEOLA,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,County of Nassau
20209,Somerset County,SOMERVILLE,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Somerset County
20212,County of Hunterdon,FLEMINGTON,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,County of Hunterdon
20217,"Hampton Jitney, Inc.",CALVERTON,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Hampton Jitney, Inc."
20226,"SeaStreak, LLC",Atlantic Highlands,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"SeaStreak, LLC"
22930,New York City Economic Development Corporation,New York,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,New York City Economic Development Corporation
30019,Southeastern Pennsylvania Transportation Authority,PHILADELPHIA,PA,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Southeastern Pennsylvania Transportation Authority
30030,Washington Metropolitan Area Transit Authority,WASHINGTON,DC,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,Washington Metropolitan Area Transit Authority
30034,Maryland Transit Administration,Baltimore,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council,Maryland Transit Administration
30040,City of Annapolis,ANNAPOLIS,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council,City of Annapolis
30048,County of Howard,ELLICOTT CITY,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council,County of Howard
30051,"Montgomery County, Maryland",ROCKVILLE,MD,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Montgomery County, Maryland"
30057,Pennsylvania Department of Transportation,HARRISBURG,PA,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Pennsylvania Department of Transportation
30058,City of Fairfax,FAIRFAX,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,City of Fairfax
30068,"Fairfax County, VA",FAIRFAX,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Fairfax County, VA"
30070,Potomac and Rappahannock Transportation Commission,WOODBRIDGE,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,Potomac and Rappahannock Transportation Commission
30071,City of Alexandria,ALEXANDRIA,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,City of Alexandria
30072,"Frederick County, Maryland",FREDERICK,MD,"Frederick, MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Frederick County, Maryland"
30073,Virginia Railway Express,Alexandria,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,Virginia Railway Express
30074,Harford County Maryland,BEL AIR,MD,"Aberdeen-Bel Air South-Bel Air North, MD",Baltimore,BMC,Baltimore Metropolitan Council,Harford County Maryland
30075,Delaware Transit Corporation,DOVER,DE,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Delaware Transit Corporation
30077,Borough of Pottstown,POTTSTOWN,PA,"Pottstown, PA",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Borough of Pottstown
30079,City of Fredericksburg,FREDERICKSBURG,VA,"Fredericksburg, VA",Washington DC,COG,Metropolitan Washington Council of Governments,City of Fredericksburg
30080,"Arlington County, Virginia",ARLINGTON,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Arlington County, Virginia"
30081,Loudoun County,LEESBURG,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,Loudoun County
30085,"Prince George's County, Maryland",LARGO,MD,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Prince George's County, Maryland"
30088,"County Commissioners of Charles County, MD",LA PLATA,MD,"Waldorf, MD",Washington DC,COG,Metropolitan Washington Council of Governments,"County Commissioners of Charles County, MD"
30103,"Martz Group, National Coach Works of Virginia",Fredericksburg,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Martz Group, National Coach Works of Virginia"
30112,DDOT - Progressive Transportation Services Administration,WASHINGTON,DC,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,DDOT - Progressive Transportation Services Administration
30129,Anne Arundel County,ANNAPOLIS,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council,Anne Arundel County
30201,City of Baltimore,BALTIMORE,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council,City of Baltimore
40008,City of Charlotte North Carolina,CHARLOTTE,NC,"Charlotte, NC-SC",Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,City of Charlotte North Carolina
40022,Metropolitan Atlanta Rapid Transit Authority,ATLANTA,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Metropolitan Atlanta Rapid Transit Authority
40026,Manatee County Board of County Commissioners,SARASOTA,FL,"Sarasota-Bradenton, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40027,Pinellas Suncoast Transit Authority,SAINT PETERSBURG,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40029,Broward County Board of County Commissioners,FORT LAUDERDALE,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40031,Lakeland Area Mass Transit District,LAKELAND,FL,"Lakeland, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40031,Lakeland Area Mass Transit District ,LAKELAND,FL,"Lakeland, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40034,County of Miami-Dade ,MIAMI,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40035,Central Florida Regional Transportation Authority,ORLANDO,FL,"Orlando, FL",Orlando,MetroPlan,Metro Plan Orlando,Central Florida Regional Transportation Authority
40037,"Board of County Commissioners, Palm Beach County",WEST PALM BEACH,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40041,Hillsborough Area Regional Transit Authority,TAMPA,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40046,Sarasota County ,SARASOTA,FL,"Sarasota-Bradenton, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40074,Pasco County Board of County Commissioners,NEW PORT RICHEY,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40077,South Florida Regional Transportation Authority,POMPANO BEACH,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40078,Cobb County,MARIETTA,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Cobb County
40082,County of Douglas,DOUGLASVILLE,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,County of Douglas
40127,Polk County Transit Services Division - Polk County Board of County Commissioners,Winter Haven,FL,"Winter Haven, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40135,Georgia Regional Transportation Authority,Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Georgia Regional Transportation Authority
40138,Gwinnett County Board of Commissioners,LAWRENCEVILLE,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Gwinnett County Board of Commissioners
40142,City of Canton Transit,Canton,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,City of Canton Transit
40146,Hernando County Board of County Commissioners,BROOKSVILLE,FL,"Spring Hill, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40152,"Miami Lakes - vRide, Inc.",Miami Lakes,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40153,"vRide, Inc. - Atlanta",Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,"vRide, Inc. - Atlanta"
40157,Clayton County Board of Commissioners,Jonesboro,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Clayton County Board of Commissioners
40161,Cherokee County Board of Commissioners,CANTON,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Cherokee County Board of Commissioners
40177,Buckhead Community Improvement District,Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Buckhead Community Improvement District
40179,Broward County Community Bus Service,Plantation,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40200,Tampa Bay Area Regional Transit Authority,TAMPA,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40203,Enterprise Rideshare,Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Enterprise Rideshare
40228,Mecklenburg County ,Charlotte,NC,"Charlotte, NC-SC",Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,Mecklenburg County 
40230,City of Atlanta,Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,City of Atlanta
40258,"The Looper Group, Inc.",St. Petersburg,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40259,"Jolley Trolley Transportation of Clearwater, Inc.",Clearwater,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40264,Georgia State Road and Tollway Authority,ATLANTA,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Georgia State Road and Tollway Authority
42000,Atlanta-Region Transit Link Authority,ATLANTA,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission,Atlanta-Region Transit Link Authority
44929,City of Fort Lauderdale,FORT LAUDERDALE,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
50027,Metro Transit,MINNEAPOLIS,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Metro Transit
50031,Suburban Mobility Authority for Regional Transportation,DETROIT,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50040,Ann Arbor Area Transportation Authority,ANN ARBOR,MI,"Ann Arbor, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50066,Chicago Transit Authority,CHICAGO,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,Chicago Transit Authority
50113,Pace - Suburban Bus Division,ARLINGTON HEIGHTS,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,Pace - Suburban Bus Division
50118,Northeast Illinois Regional Commuter Railroad Corporation,CHICAGO,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,Northeast Illinois Regional Commuter Railroad Corporation
50119,City of Detroit ,DETROIT,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50141,Detroit Transportation Corporation,Detroit,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
